Repository,Pushed_on,description,category,useful,Notes
aakb/odaa_ckan , 2014-03-31 11:02:07 , Open data Aarhus - Modified CKAN ,local,,no description; fork CKAN
abulte/ckanext-countapicalls , 2012-08-06 20:51:19 , Simple API dataset hits counter,stats,*,
acouch/puppet-ckan , 2012-08-12 13:15:43 , Puppet manifest for CKAN in Ubuntu / Debian,,,
afomi/datacatalog-imp-colorado-ckan-net , 2010-08-24 18:36:30 , National Data Catalog Importer for colorado.ckan.net,,,
ag242/ckanext-custom_fields , 2013-12-19 15:01:38 , ,unk,,
alexandrainst/ckanext-realtime , 2014-05-03 12:49:45 , Build realtime apps with CKAN,function,,
alexaraujors/dadospoa_theme , 2013-10-10 18:47:58 , Tema para CKAN com customização para o Portal de Dados Abertos da Prefeitura Municipal de Porto Alegre,local,,
alexbyrnes/ckanext-mongodb , 2012-10-20 17:24:25 , CKAN extension for MongoDB,function,,
alexbyrnes/pico-ckan , 2013-04-07 04:40:55 , Easy open data development,function,,
aliceh75/ckanext-dev , 2014-03-25 12:21:49 , ,unk,,
andrewhoppin/OpenNYDemo , 2012-11-20 23:45:23 ," A demo site for OpenNY, an open data initiative for New York State, which adds some New York State data and custom images to the CKAN code base",,,
andytwigg/ckan-tools , 2013-02-15 12:56:12 , some ckan tools,function,,
anibalpacheco/ckanext-agesic , 2014-05-02 22:35:15 , Mirror of http://git.agesic.gub.uy/agesic-arquitectura/ckanext-agesic.git,local,,
AnnaGerber/ckanext-hideorgs , 2014-02-07 05:12:19 , A CKAN 2 plugin that hides the organizations feature from the web interface,function,,
apohllo/CKAN , 2013-06-18 11:48:13 , Ruby Client for Comprehensive Knowledge Archive Network,client,,
aron/ckan-style , 2012-05-21 10:41:46 , Hosting of the CKAN style guide while in development,,,
AwareTI/ckanext-iota , 2013-09-12 18:30:45 , CKAN extension for the IOTA,local,,
B2FIND/ckanext-b2find , 2014-03-26 09:43:29 , ,unk,,
B2FIND/ckanext-datesearch , 2014-03-19 14:04:12 , ,function,,
B2FIND/ckanext-eudatjmd , 2014-03-20 13:12:58 , ,unk,,
B2FIND/md-ingestion , 2014-05-06 16:49:38 ," Ingestion (including OAI harvesting, semantic mapping (see repo 'md-mapping') and uploading to CKAN ) of metadata in the B2FIND portal",harvest,,
bassosimone/nadia , 2011-03-10 17:22:55 , helper scripts for it.ckan.net,,,
berlinonline/ckanext-berlin , 2013-12-03 15:22:40 , CKAN extension for the datenregister.berlin.de portal,local,,
bodacea/ckandump , 2014-03-12 13:10:02 ," Code to grab essential data out of a CKAN node, using the CKAN API",function,,
bodacea/crisisdata , 2013-04-13 14:45:05 , Links to crisis data repositories (stopgap til I get my CKAN working again),junk,,
bopen/ckanext-mapsearch , 2014-03-31 09:56:27 , A CKAN extension to add an scale-aware map-centred search,function,,
calvis/cKanren , 2014-01-13 18:29:27 , Constraint programming language embedded in Racket,junk,,
cgueret/CKAN-network-builder , 2011-10-21 08:53:06 , Extract the content of the LOD cloud from CKAN.net,,,
chrisho711/ckanext , 2013-09-15 14:54:07 , ,unk,,
chungyuen/ckanext-dghk , 2014-04-23 01:49:11 , DGHK CKAN Extension,local,,
chungyuen/dataone-ckanext , 2013-07-25 05:59:45 , ,local,,
CityofOttawa/Ottawa-ckan , 2014-03-18 20:44:22 , City of Ottawa Implementation of ckan (open data portal),local,,
ciudadanointeligente/ckanext-forms , 2012-02-28 18:27:46 , Manages dataset forms in ckan,,,
ciudadanointeligente/ckanext-junar , 2012-04-04 15:27:09 , Connector for ckan to use junar.com,,,
CI-Water-DASYCIM/ckanext-customdataset , 2014-03-21 18:44:43 , This CKAN extension allows creation of specific dataset types for the CIWATER system,local,,
CI-Water-DASYCIM/ckanext-customization , 2014-02-11 17:32:41 , This CKAN extension is for customizing the UI layer of CIWATER Portal.,UI,,
CI-Water-DASYCIM/ckanext-delineate , 2014-04-04 22:14:51 , A CKAN extension for delineating watershed. It uses EPA web service for delineation.,function,,
CI-Water-DASYCIM/ckanext-uebpackage , 2014-03-21 18:58:34 , This is a CKAN extension that builds UEB model packages and runs UEB model. This extension is specific to CI_WATER CKAN instance.,function,,
ck101000xx/ckann-fb , 2013-09-01 06:08:36 , An implementation of ckann for Google AppEngine,junk,,
ckan/ckan , 2014-05-08 20:37:45 ," CKAN is an open-source DMS (data management system) for powering data hubs and data portals. CKAN makes it easy to publish, share and use data. It powers datahub.io, catalog.data.gov and data.gov.uk among many other sites.",function,,
ckan/ckan.github.io , 2014-05-04 10:33:06 , WIP,unk,,
ckan/ckanapi , 2014-03-24 18:53:43 , A command line interface and Python module for accessing the CKAN Action API,UI,,
ckan/ckan-demo-data , 2014-02-06 10:03:53 , Add demo data to a CKAN instance.,function,,
ckan/ckanext-apihelper , 2014-01-01 17:13:20 , API Helper extension.,help,,
ckan/ckanext-archiver , 2013-04-16 14:50:03 , Archive CKAN resources,function,*,
ckan/ckanext-basiccharts , 2014-05-07 01:33:01 ," Line, bar and pie charts for CKAN",function,,
ckan/ckanext-dashboard , 2014-05-06 20:04:18 , Organize views in a single dashboard,function,,
ckan/ckanext-datapackager , 2014-05-08 17:28:48 , CKAN extension for the Open Knowledge Data Packager,function,,
ckan/ckanext-datapusherext , 2014-01-31 14:37:27 , Backport of 2.2 datapusher extension.,function,,
ckan/ckanext-datastorer , 2014-01-29 10:04:53 , Get files from ckan into the webstore.,function,,
ckan/ckanext-dcat , 2013-12-09 19:27:43 , Work in progress: CKAN + DCAT,function,,
ckan/ckanext-disqus , 2014-05-08 04:40:38 , Extension that adds the Disqus commenting system to CKAN,function,,
ckan/ckanext-downloadsdf , 2014-03-04 16:42:24 , ,function,,
ckan/ckanext-googleanalytics , 2014-01-29 09:42:06 ," CKAN extension to integrate Google Analytics data into CKAN. Gives download stats on package pages, list of most popular packages, etc.",function,*,
ckan/ckanext-harvest , 2014-04-30 16:47:23 , Remote harvesting extension for CKAN,harvest,,
ckan/ckanext-intro , 2013-09-15 13:13:10 , A quick interactive introduction to writing CKAN extensions,help,,
ckan/ckanext-mapviews , 2014-05-06 20:05:18 , CKAN Resource View to build maps and choropleth maps,function,,
ckan/ckanext-pages , 2014-04-10 18:36:41 , simple cms,function,*,
ckan/ckanext-persona , 2014-02-28 19:59:41 , A CKAN extension for logging in using Mozilla Persona,,,
ckan/ckanext-qa , 2013-09-18 10:10:36 , CKAN QA Extension,,,
ckan/ckanext-repo , 2014-04-10 05:12:11 , Shows information about the CKAN version an instance is running. Mostly useful for development sites.,function,,
ckan/ckanext-s3archive , 2014-02-25 11:56:55 , Archive CKAN datastore to S3,function,*,
ckan/ckanext-searchhistory , 2014-05-08 10:13:33 , Save search history to be used later for autocomplete and statistics,stats,*,
ckan/ckanext-simplecsvpreview , 2014-03-03 10:50:10 , ,unk,,
ckan/ckanext-spatial , 2014-04-30 17:02:42 , Geospatial extension for CKAN,function,,
ckan/ckanext-viewhelpers , 2014-04-09 20:44:52 , Helpers for creating views for CKAN,help,,
ckan/ckan-packaging , 2014-03-18 14:03:03 , Ansible scripts to package ckan,install,,
ckan/ckan-service-provider , 2014-01-31 12:17:45 , An example ckan data processing service,function,,
ckan/datapusher , 2014-03-07 00:23:14 , A standalone service that automatically migrates data to the CKAN DataStore,function,,
ckan/example-add-dataset , 2014-04-09 10:26:53 , Example script that uses the CKAN API to create a dataset and upload some files to it,function,,
ckan/example-earthquake-datastore , 2014-04-18 08:08:50 , An example script that sets up and periodically updates a CKAN DataStore table with earthquake data from the NGDS,function,,
ckan/example-update-datastore , 2014-02-06 13:33:31 , Example script that uses the CKAN API to create a dataset and upload some data to its DataStore,function,,
ckan/ideas-and-roadmap , 2014-03-13 18:27:45 , CKAN Feature Ideas and Roadmap,help,,
ckan/trac.ckan.org , 2014-05-02 22:52:28 , Backup of CKAN's deprecated Trac instances (issues are now on GitHub),junk,,
ckandoth/ckandoth.github.io , 2014-02-12 04:13:20 , My GitHub page,junk,,
clofresh/openjc , 2013-12-04 06:44:47 , demo ckan deployment for Open JC,local,,
cm3/ckan.po-ja , 2012-08-09 03:37:09 , japanese gettext file for i18n in CKAN project (https://github.com/cm3/ckan),,,
cmhedrick/ckan-tools , 2014-02-06 19:48:40 , CKAN tools to make dataset management easier.,function,*,
CodeandoMexico/ckan_api , 2014-04-28 23:03:05 , A Ruby CKAN API Wrapper,API,,
CodeandoMexico/ckanext-datamx_theme , 2014-05-06 20:21:49 , Codeando Mexico's Custom Theme CKAN Extension.,local,,
CodeForAfrica/ckanext-openafrica , 2014-04-18 08:58:05 , CKAN extension for Open Africa.,local,,
codeforjapan/ckanext-dataforjapan , 2014-04-07 12:04:27 , CKAN extension for Data for Japan,local,,
conwetlab/ckanext-datastore_restful , 2014-05-08 11:10:53 , Extension that provides a fully Restful API to access the data contained in the DataStore. ,API,,
Conzar/ckan-puppet , 2014-01-15 02:00:45 , A puppet module that manages and deploys CKAN.,install,,
csk157/ckanext-alexandra , 2013-09-27 08:40:27 , ,unk,,
CSTARS/ceres-ckan-migration , 2014-04-01 17:54:16 , Node migration scripts for moving CERES to the CKAN system,junk,,
CSTARS/ckanext-ceres , 2014-03-31 21:04:14 , Ceres CKAN Extension,local,,
CSTARS/ckanext-esis , 2014-05-08 21:23:23 , Ckan extension adding additional fields and controls for spectral data,function,,
CSTARS/ckan-mqe-importer , 2014-02-12 19:17:20 , package for exporting ckan data to the mongo-query-engine,function,,
cygri/ckan_link_sync , 2012-01-23 11:50:30 , Turn “link:xxx” style CKAN API extra fields into proper CKAN relationships,,,
dadosgovbr/ckanext-dadosgovbr , 2012-03-26 17:52:21 , CKAN theme for the brazilian open data portal,,,
daphizzle/CKANImport , 2014-03-14 15:54:04 , ,harvest,,
datagovau/ckanext-agls , 2014-04-02 03:14:09 , AGLS metadata extension for CKAN,metadata,,
datagovau/ckanext-datagovau , 2014-04-02 03:17:49 , Site specific customisations for the hosting of data.gov.au.,local,,
datagovau/ckanext-dga-stats , 2014-04-02 03:17:32 , CKAN's built-in Statistics plugin modified for data.gov.au,stats,,
datagovau/ckanext-ga-report , 2014-04-02 03:21:27 , Google analytics report for CKAN,stats,*,
datagovau/dga-spatialingestor , 2014-04-02 03:32:33 , Update Geoserver/PostGIS from spatial CKAN datasets,spatial,*,
datagovuk/ckanext-certificates , 2014-03-04 12:37:32 , Retrieval and helpers for ODI Open Data certificates,function,,
datagovuk/ckanext-datapreview , 2014-03-07 13:10:07 , Data preview for ckan from local resource cache,function,,
datagovuk/ckanext-datastore , 2012-09-11 11:58:40 , ,,,
datagovuk/ckanext-dgu , 2014-05-08 20:15:42 , CKAN extension for data.gov.uk,local,,
datagovuk/ckanext-dgu-local , 2014-03-18 13:23:12 , Support for harvesting from Local Authorities,harvest,,
datagovuk/ckanext-ga-report , 2014-03-05 21:46:49 ," For creating detailed reports of CKAN analytics, sliced by group",stats,*,
datagovuk/ckanext-hierarchy , 2014-01-13 16:55:43 , Organization hierarchy - CKAN extension,function,*,
datagovuk/ckanext-linkfinder , 2013-03-13 15:41:10 , Finds links on resources that are actually html pages,function,*,"Sometimes when adding resources to CKAN, users mistakenly add a link to the page containing links to the data rather than the data itself. This extension attempts, for a given resource to find the actual resources on the page. This will only cover some cases and isn't a solution that will fix every problem. By using an assortment of CSS, XPath and Regex on a per url (or per publisher) basis it is possible to find the important links in a HTML page"
datagovuk/ckanext-os , 2014-02-10 12:58:09 , Spatial widgets developed in mainly by Ordnance Survey (CKAN extension),spatial,*,
datagovuk/ckanext-redmine , 2013-12-19 09:38:51 , Contact/Issues form backed by redmine,function,,
datagovuk/dgu_solr , 2014-03-19 10:06:35 , DGU Solr configuration for Drupal and CKAN,SOLR,,
datagovuk/dgu-joint-assets , 2013-07-02 11:31:08 , Joint assets required across CKAN and Drupal deployments of data.gov.uk.,drupal,,
datagovuk/shared_dguk_assets , 2014-05-07 09:02:06 , Source for DGUK assets shared by both CKAN and Drupal.,drupal,,
datagvat/ckanext-dgvat , 2014-01-07 11:44:45 , ,unk,,
datagvat/ckanext-dgvat_harvest , 2014-01-07 11:44:58 , ,harvest,,
datagvat/ckanext-dgvat_por , 2014-01-07 11:45:12 , ,unk,,
datalocale/ckan-doc-fr , 2012-08-23 12:04:43 , traduction de la documentation de ckan en français,,,
datalocale/ckanext-datalocale , 2013-06-11 20:23:07 , extension CKAN développée pour le projet http://catalogue.datalocale.fr,local,,
datalocale/drupal-datalocale , 2013-02-20 16:20:37 , Module drupal permettant la récupération des données de l'entrepôt CKAN Datalocale,local,,
dataprev/ckan-loader , 2013-07-22 03:13:53 ," Aplicação escrita em Jython. Funciona em uma máquina virtual Java. Sua finalidade é apoiar a carga de diversos recursos de dados, de forma batch, no catálogo de dados abertos por intermédio da api rest do CKAN.",harvest,,
davidmegginson/ckan-tools , 2014-05-05 17:46:05 , PHP scripts for uploading humanitarian data to CKAN,harvest,,
dgraziotin/libckan , 2013-03-29 12:58:14 , Python library for OKFN CKAN APIv3. ,API,,
domoritz/ckanext-krzn , 2013-11-08 20:30:22 , Custom CKAN extension for KRZN,local,,
DrGonzoWV/CKAN_Vanilla , 2012-11-20 15:36:07 , Base CKAN project,,,
dvcama/ckan2triples , 2014-01-07 10:06:05 , ,function,rdf,
dvcama/ckanExport2triples , 2014-01-07 10:05:15 , ,function,rdf,
eccenca/ckanext-diachron , 2013-09-20 21:49:50 , ,unk,,
eddietejeda/ckan-openoakland-template , 2012-07-21 01:14:58 , ,,,
enal/ckanext-authz , 2013-09-05 13:31:15 , ckan-plugin for providing ckan-1.x authorization functions in ckan-2.x ,function,,
ericbusboom/sdrdl-ckan-design , 2013-01-21 04:42:51 , Customizations to the CKAN data repository for the SDRDL Design,local,,
ericwsawyer/ckan-install , 2014-04-10 10:36:39 , ,install,,
EsriDE/OpenDataBridge , 2014-03-04 14:43:45 , Links open data catalogs like CKAN or CSW to ArcGIS Online,catalog,,
etalab/ckanext-etalab , 2014-01-17 14:42:28 , CKAN extension for data.gouv.fr site,local,,
etalab/ckanext-fedmsg , 2013-10-05 20:01:23 , CKAN extension for sending activity events to the Fedora Infrastructure Message Bus (fedmsg),function,,
etalab/ckanext-oauth2 , 2014-04-22 13:54:39 , OAuth2 support for CKAN,authentication,*,
etalab/ckanext-sentry , 2014-04-22 13:50:21 , Sentry support for CKAN,authentication,,
etalab/ckanext-youckan , 2014-02-26 14:22:08 , YouCKAN connector for CKAN,function,,
etalab/ckan-of-worms , 2014-01-17 14:40:11 , A logger for errors found in CKAN datasets,function,*,
etalab/ckan-toolbox , 2014-02-21 17:53:56 , Various modules that handle CKAN API and data,function,,
etalab/cowbots , 2014-01-31 10:07:14 , Error detection bots for Ckan-of-Worms,function,,
etalab/etalab-ckan-harvesters , 2014-04-23 16:53:16 , Harvesters for Etalab CKAN,harvest,,
etalab/etalab-ckan-scripts , 2014-04-25 21:10:36 , Various scripts that handle Etalab datasets in CKAN repository,local,,
etalab/etalab-to-ckan , 2013-12-13 17:38:02 , Tools to help migration of data.gouv.fr to CKAN,local,,
etalab/udata-cow , 2014-05-05 10:17:40 , CKAN-Of-Worms support for uData,function,,
etalab/weckan , 2014-04-19 12:33:47 , Web application using CKAN model,UI,,
evo42/OffeneDaten , None , Open Data CKAN Verzeichnis offenedaten.at /.eu /.ch /.net ,junk,,
fadmaa/grefine-ckan-storage-extension , 2014-01-31 17:20:00 , Upload data directly from within Google Refine to CKAN using CKAN storage API,function,,
formwandler/ckanext-odmetheme , 2014-04-20 07:48:53 , Custom CKAN theme for Offene Daten Mettmann http://demo.offene-daten.me,local,,
fprieur/ckanext-export_users , 2014-02-13 16:42:58 , ,function,,
fprieur/ckanext-vdmauth , 2014-01-15 21:34:01 , ,unk,,
fprieur/test-ckan , 2014-05-02 21:17:34 , ,unk,,
fprieur/vcd , 2014-04-24 17:55:25 , Vagrant Ckan Development,install,,
fraunhoferfokus/ckanclient-java , None , ,junk,,
fraunhoferfokus/ckanext-berlin , 2012-02-15 11:23:01 , ,,,
fraunhoferfokus/ckanext-govdatade , 2014-03-14 16:27:39 , GovData.de specific CKAN extension,local,,
fraunhoferfokus/ckanext-stromnetzberlin , 2013-06-25 10:07:42 , ckanext-stromnetzberlin,local,,
fredericprieur/ckan-bulk-add-member-to-groups , 2014-03-24 14:49:00 , ,function,,
fredericprieur/ckan-bulk-license-change , 2014-03-13 21:06:08 , Script for bulk change of all the datasets in a given ckan instance,function,bulk update,
fredericprieur/ckan-vdm-utils , 2014-04-22 19:18:02 , ckan-vdm-utils,unk,,
friendlycode/ckanext-datagr , 2014-02-12 03:39:16 , CKAN extension for data.grcity.us customizations,local,,
FuhuXia/ckanphpimport , 2013-11-26 17:58:51 , A PHP script to import data from source json into inventory CKAN site.,harvest,*,
fumi/ckanext-fake-datagojp , 2014-04-17 09:13:26 , ckan extension for datago.jp which is a mirror site of data.go.jp,local,,
fumi/ckanext-mimetypes , 2014-03-25 14:49:30 , Custom mimetypes extension,function,,
fusionx1/custom-ckan , 2012-07-04 13:04:40 , ,,,
genhan2011/ckan-vagrant , 2012-12-18 21:42:14 , A Vagrant VM for CKAN development environment,install,,
georgepm/ckanext-sparql , 2013-11-20 23:30:33 , SPARQL Interface for Ckan,API,rdf,
geosolutions-it/ckanext-cmre , 2014-03-24 17:08:23 , Custom Template for CMRE,local,,
geosolutions-it/ckanext-ecportal , 2014-04-16 15:46:53 , EC PORTAL,local,,
geosolutions-it/ckanext-geonetwork , 2014-03-07 12:27:42 , GeoNetwork harvester for CKAN,harvest,,
geosolutions-it/ckanext-mapstore , 2014-04-16 11:46:22 , CKAN Extension for MapStore Preview and GeoStore Harvesting,harvest,,
